data_hora,status_bomba,tensao_v,corrente_a,temp_mancal_c,vibracao_mm_s,nivel_pct,pressao_descarga_bar,sinal_nivel_pct,comando_operador,alarme,categoria_falha_esperada
2026-08-14 01:00:00,1,440,49.0,61.0,2.5,65,5.2,65,AUTO,NORMAL,MECANICA
2026-08-14 01:05:00,1,440,49.0,62.0,3.4,65,5.2,65,AUTO,NORMAL,MECANICA
2026-08-14 01:10:00,1,440,49.0,64.0,4.9,65,5.2,65,AUTO,NORMAL,MECANICA
2026-08-14 01:15:00,1,440,49.0,66.0,6.8,65,5.2,65,AUTO,ALERTA_VIBRACAO,MECANICA
2026-08-14 01:20:00,1,440,49.0,69.0,8.2,65,5.2,65,AUTO,TRIP_VIBRACAO,MECANICA
2026-08-14 01:25:00,0,440,0.0,69.0,8.2,65,5.2,65,AUTO,BOMBA_PARADA,MECANICA
2026-08-14 01:30:00,0,440,0.0,69.0,8.2,65,5.2,65,AUTO,BOMBA_PARADA,MECANICA
2026-08-14 01:55:00,1,440,47.5,60.0,2.3,60,5.1,60,AUTO,PARTIDA,MECANICA
2026-08-14 07:00:00,1,440,48.0,62.0,2.4,65,5.2,65,AUTO,NORMAL,ELETRICA
2026-08-14 07:05:00,1,430,48.5,62.0,2.4,65,5.2,65,AUTO,NORMAL,ELETRICA
2026-08-14 07:10:00,1,415,49.5,62.0,2.4,65,5.2,65,AUTO,NORMAL,ELETRICA
2026-08-14 07:15:00,1,395,51.0,62.0,2.4,65,5.2,65,AUTO,ALERTA_SUBTENSAO,ELETRICA
2026-08-14 07:20:00,1,365,52.0,62.0,2.4,65,5.2,65,AUTO,TRIP_SUBTENSAO,ELETRICA
2026-08-14 07:25:00,0,365,0.0,62.0,2.4,65,5.2,65,AUTO,BOMBA_PARADA,ELETRICA
2026-08-14 07:30:00,0,365,0.0,62.0,2.4,65,5.2,65,AUTO,BOMBA_PARADA,ELETRICA
2026-08-14 07:55:00,1,440,47.5,60.0,2.3,60,5.1,60,AUTO,PARTIDA,ELETRICA
2026-08-14 13:00:00,1,440,49.0,62.0,2.4,68,5.2,68,AUTO,NORMAL,INSTRUMENTACAO
2026-08-14 13:05:00,1,440,49.0,62.0,2.4,67,5.2,66,AUTO,NORMAL,INSTRUMENTACAO
2026-08-14 13:10:00,1,440,49.0,62.0,2.4,67,5.2,42,AUTO,NORMAL,INSTRUMENTACAO
2026-08-14 13:15:00,1,440,49.0,62.0,2.4,66,5.2,18,AUTO,ALERTA_SINAL_NIVEL,INSTRUMENTACAO
2026-08-14 13:20:00,1,440,49.0,62.0,2.4,66,5.2,5,AUTO,TRIP_SINAL_NIVEL,INSTRUMENTACAO
2026-08-14 13:25:00,0,440,0.0,62.0,2.4,66,5.2,5,AUTO,BOMBA_PARADA,INSTRUMENTACAO
2026-08-14 13:30:00,0,440,0.0,62.0,2.4,66,5.2,5,AUTO,BOMBA_PARADA,INSTRUMENTACAO
2026-08-14 13:55:00,1,440,47.5,60.0,2.3,60,5.1,60,AUTO,PARTIDA,INSTRUMENTACAO
2026-08-14 19:00:00,1,440,49.0,62.0,2.4,48,5.2,48,AUTO,NORMAL,OPERACIONAL_PROCESSO
2026-08-14 19:05:00,1,440,49.0,62.0,2.4,38,5.1,38,AUTO,NORMAL,OPERACIONAL_PROCESSO
2026-08-14 19:10:00,1,440,49.0,62.0,2.4,28,5.0,28,AUTO,NORMAL,OPERACIONAL_PROCESSO
2026-08-14 19:15:00,1,440,49.0,62.0,2.4,18,4.8,18,AUTO,ALERTA_NIVEL_BAIXO,OPERACIONAL_PROCESSO
2026-08-14 19:20:00,1,440,49.0,62.0,2.4,12,4.5,12,AUTO,TRIP_NIVEL_BAIXO,OPERACIONAL_PROCESSO
2026-08-14 19:25:00,0,440,0.0,62.0,2.4,12,4.5,12,AUTO,BOMBA_PARADA,OPERACIONAL_PROCESSO
2026-08-14 19:30:00,0,440,0.0,62.0,2.4,12,4.5,12,AUTO,BOMBA_PARADA,OPERACIONAL_PROCESSO
2026-08-14 19:55:00,1,440,47.5,60.0,2.3,60,5.1,60,AUTO,PARTIDA,OPERACIONAL_PROCESSO
