data_hora,status_bomba,tensao_v,corrente_a,temp_mancal_c,vibracao_mm_s,nivel_pct,sinal_nivel_pct,alarme
2026-08-15 00:00:00,1,440.0,18.2,62.0,2.2,72,72,NORMAL
2026-08-15 00:30:00,1,441.0,18.4,63.0,2.3,70,70,NORMAL
2026-08-15 01:00:00,1,,18.3,64.0,2.4,68,68,NORMAL
2026-08-15 01:30:00,1,439.0,18.5,,2.5,66,66,NORMAL
2026-08-15 02:00:00,1,440.0,18.1,67.0,2.4,135,135,NORMAL
2026-08-15 02:30:00,3,440.0,18.0,68.0,2.3,64,64,NORMAL
2026-08-15 03:30:00,1,440.0,18.2,69.0,2.5,62,62,NORMAL
2026-08-15 04:00:00,1,440.0,18.4,91.0,3.0,60,60,TRIP_TEMP_MANCAL
2026-08-15 04:30:00,0,440.0,0.0,94.0,0.0,60,60,BOMBA_PARADA
2026-08-15 05:00:00,1,440.0,18.0,65.0,2.3,58,58,NORMAL
2026-08-15 05:30:00,1,365.0,17.5,65.0,2.4,57,57,TRIP_SUBTENSAO
2026-08-15 06:00:00,0,365.0,0.0,64.0,0.0,57,57,BOMBA_PARADA
2026-08-15 06:30:00,1,440.0,18.1,64.0,2.5,55,55,NORMAL
2026-08-15 07:00:00,1,440.0,18.3,65.0,8.1,54,54,TRIP_VIBRACAO
2026-08-15 07:30:00,0,440.0,0.0,65.0,8.2,54,54,BOMBA_PARADA
2026-08-15 08:00:00,1,440.0,18.0,63.0,2.4,20,20,NORMAL
2026-08-15 08:30:00,1,440.0,18.1,63.0,2.5,12,12,TRIP_NIVEL_BAIXO
2026-08-15 09:00:00,0,440.0,0.0,62.0,0.0,12,12,BOMBA_PARADA
2026-08-15 09:30:00,1,440.0,18.2,63.0,2.4,66,5,TRIP_SINAL_NIVEL
2026-08-15 10:00:00,0,440.0,0.0,63.0,0.0,66,5,BOMBA_PARADA
